"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.352754490E0,-7.299999893E-2,1.990000010E-1,-5.159999728E-1,5.578404540E-1
1.357702305E0,-7.299999893E-2,1.990000010E-1,-5.159999728E-1,5.578404540E-1
1.362651778E0,-5.099999905E-2,2.090000063E-1,-5.220000148E-1,5.645936751E-1
1.367600765E0,-5.099999905E-2,2.090000063E-1,-5.220000148E-1,5.645936751E-1
1.372544245E0,-4.399999976E-2,1.889999956E-1,-5.540000200E-1,5.870034246E-1
1.377489326E0,-4.399999976E-2,1.889999956E-1,-5.540000200E-1,5.870034246E-1
1.382437284E0,-3.700000048E-2,2.090000063E-1,-5.080000162E-1,5.505579163E-1
1.387384401E0,-3.700000048E-2,2.090000063E-1,-5.080000162E-1,5.505579163E-1
1.392336050E0,-4.300000146E-2,1.840000004E-1,-4.760000110E-1,5.121337820E-1
1.397286353E0,-4.300000146E-2,1.840000004E-1,-4.760000110E-1,5.121337820E-1
1.402238048E0,-2.999999933E-2,2.140000015E-1,-4.749999940E-1,5.218438415E-1
1.407189343E0,-2.999999933E-2,2.140000015E-1,-4.749999940E-1,5.218438415E-1
1.412134254E0,-1.200000010E-2,2.259999961E-1,-4.810000062E-1,5.315834875E-1
1.417081037E0,-1.200000010E-2,2.259999961E-1,-4.810000062E-1,5.315834875E-1
1.422033396E0,-2.600000054E-2,2.290000021E-1,-5.120000243E-1,5.614811002E-1
1.426984149E0,-2.600000054E-2,2.290000021E-1,-5.120000243E-1,5.614811002E-1
1.431929875E0,-1.600000076E-2,2.029999942E-1,-5.350000262E-1,5.724421593E-1
1.436877074E0,-1.600000076E-2,2.029999942E-1,-5.350000262E-1,5.724421593E-1
1.441825155E0,-3.900000080E-2,1.800000072E-1,-5.339999795E-1,5.648689943E-1
1.446772986E0,-3.900000080E-2,1.800000072E-1,-5.339999795E-1,5.648689943E-1
1.451717951E0,-5.200000107E-2,1.609999985E-1,-5.360000134E-1,5.620685136E-1
1.456663756E0,-5.200000107E-2,1.609999985E-1,-5.360000134E-1,5.620685136E-1
1.461609590E0,-5.999999866E-2,1.949999928E-1,-5.339999795E-1,5.716475970E-1
1.466555429E0,-5.999999866E-2,1.949999928E-1,-5.339999795E-1,5.716475970E-1
1.471504204E0,-7.299999893E-2,1.840000004E-1,-5.910000205E-1,6.232704262E-1
1.476452121E0,-7.299999893E-2,1.840000004E-1,-5.910000205E-1,6.232704262E-1
